Year,Urban245,Nonurban245,Urban585,Nonurban585,num
2001,10,163,10,163,1
2002,94,203,94,203,2
2003,7,55,7,55,3
2004,307,536,307,536,4
2005,236,281,236,281,5
2006,94,285,94,285,6
2007,65,146,65,146,7
2008,91,154,91,154,8
2009,59,159,59,159,9
2010,23,159,23,159,10
2011,176,482,176,482,11
2012,65,98,65,98,12
2013,87,148,87,148,13
2014,108,179,108,179,14
2015,5,5,0,10,15
2016,43,82,89,94,16
2017,0,34,302,33,17
2018,5,33,93,30,18
2019,32,23,9,38,19
2020,63,39,0,2,20
2021,347,38,91,117,21
2022,45,102,1,49,22
2023,41,101,2,26,23
2024,19,74,54,59,24
2025,1,3,0,11,25
2026,46,10,57,14,26
2027,32,28,2,23,27
2028,18,55,259,32,28
2029,0,28,0,11,29
2030,3,32,3,62,30
2031,88,62,0,3,31
2032,619,80,0,9,32
2033,21,38,6,31,33
2034,0,5,10,29,34
2035,0,15,0,13,35
2036,0,9,0,5,36
2037,2,22,3,2,37
2038,3,54,21,28,38
2039,4,174,3,14,39
2040,0,25,10,46,40
2041,0,17,0,66,41
2042,182,38,0,9,42
2043,0,17,3,110,43
2044,7,123,0,3,44
2045,0,19,50,1,45
2046,46,93,5,18,46
2047,94,59,32,70,47
2048,0,6,73,29,48
2049,0,3,49,27,49
2050,2,37,4,16,50
2051,0,22,2362,216,51
2052,6,5,9,44,52
2053,0,17,2,7,53
2054,1,10,0,3,54
2055,35,13,257,134,55
2056,1,34,0,3,56
2057,0,14,32,67,57
2058,37,30,0,0,58
2059,0,5,6,21,59
2060,16,11,0,5,60
2061,209,70,0,0,61
2062,110,23,0,0,62
2063,8,68,49,7,63
2064,0,3,420,44,64
2065,404,61,3,95,65
2066,3,19,2,16,66
2067,25,32,209,4,67
2068,7,60,0,5,68
2069,16,52,1,24,69
2070,2,51,198,83,70
2071,59,25,1,12,71
2072,19,42,43,91,72
2073,26,75,204,68,73
2074,1,9,10,16,74
2075,0,11,0,20,75
2076,1369,204,0,9,76
2077,23,39,8,15,77
2078,2,29,32,61,78
2079,347,73,0,4,79
2080,0,2,0,9,80
2081,1,7,2,13,81
2082,390,81,3,10,82
2083,0,16,0,12,83
2084,2,4,98,99,84
2085,0,2,0,6,85
2086,1,3,39,58,86
2087,35,66,3,51,87
2088,5,22,3,31,88
2089,1,34,0,11,89
2090,0,3,385,52,90
2091,0,5,0,67,91
2092,31,24,0,1,92
2093,0,72,3,9,93
2094,1,40,119,12,94
2095,0,57,149,58,95
2096,1,9,10,2,96
2097,0,6,116,21,97
2098,0,14,0,28,98
2099,0,7,0,3,99
2100,0,0,31,47,100
